IndustryCode,Origin,Dest,tau_nodist,TEC,Desc
BS3121A0,QC,AB,1,0.00%, Wineries and Distilleries
BS312200,QC,AB,1,0.00%, Tobacco Manufacturing
BS31A000,QC,AB,1,0.00%, Textile and Textile Product Mills
BS31B000,QC,AB,1,0.00%, Clothing and Leather and Allied Product Manufacturing
BS321100,QC,AB,1,0.00%, Sawmills and Wood Preservation
BS321200,QC,AB,1,0.00%," Veneer, Plywood and Engineered Wood Product Manufacturing"
BS321900,QC,AB,1,0.00%, Other Wood Product Manufacturing
BS322100,QC,AB,1,0.00%," Pulp, Paper and Paperboard Mills"
BS322200,QC,AB,1,0.00%, Converted Paper Product Manufacturing
BS323000,QC,AB,1,0.00%, Printing and Related Support Activities
BS324110,QC,AB,1,0.00%, Petroleum Refineries
BS3241A0,QC,AB,1,0.00%, Petroleum Refineries
BS325100,QC,AB,1,0.00%, Basic Chemical Manufacturing
BS325200,QC,AB,1,0.00%," Resin, Synthetic Rubber, and Artificial and Synthetic Fibres and Filaments Manufacturing"
BS325300,QC,AB,1,0.00%," Pesticides, Fertilizer and Other Agricultural Chemical Manufacturing"
BS325400,QC,AB,1.018038272,1.80%, Pharmaceutical and Medicine Manufacturing
BS325500,QC,AB,1,0.00%, Pharmaceutical and Medicine Manufacturing
BS325600,QC,AB,1,0.00%," Soap, Cleaning Compound and Toilet Preparation Manufacturing"
BS325900,QC,AB,1,0.00%, Other Chemical Product Manufacturing
BS326100,QC,AB,1,0.00%, Plastic Product Manufacturing
BS326200,QC,AB,1,0.00%, Rubber Product Manufacturing
BS327A00,QC,AB,1,0.00%, Non-Metallic Mineral Product Manufacturing (except Cement and Concrete Products)
BS327300,QC,AB,1,0.00%, Rubber Product Manufacturing
BS331100,QC,AB,1,0.00%, Primary Metal Manufacturing
BS331200,QC,AB,1,0.00%, Iron and Steel Mills and Ferro-Alloy Manufacturing
BS331300,QC,AB,1,0.00%, Steel Product Manufacturing from Purchased Steel
BS331400,QC,AB,1,0.00%, Alumina and Aluminum Production and Processing
BS331500,QC,AB,1,0.00%, Non-Ferrous Metal (except Aluminum) Production and Processing
BS332100,QC,AB,1,0.00%, Fabricated Metal Product Manufacturing
BS332A00,QC,AB,1,0.00%," Coating, Engraving, Heat Treating and Allied Activities"
BS332300,QC,AB,1,0.00%, Forging and Stamping
BS332400,QC,AB,1,0.00%, Architectural and Structural Metals Manufacturing
BS332500,QC,AB,1,0.00%, Hardware Manufacturing
BS332600,QC,AB,1,0.00%, Spring and Wire Product Manufacturing
BS332700,QC,AB,1,0.00%," Machine shops, turned product, and screw, nut and bolt manufacturing"
BS332800,QC,AB,1,0.00%," Coating, Engraving, Heat Treating and Allied Activities"
BS333100,QC,AB,1,0.00%," Agricultural, construction and mining machinery manufacturing"
BS333200,QC,AB,1,0.00%, Industrial Machinery Manufacturing
BS333300,QC,AB,1,0.00%, Industrial Machinery Manufacturing
BS333400,QC,AB,1,0.00%, Commercial and Service Industry Machinery Manufacturing
BS333500,QC,AB,1,0.00%," Ventilation, Heating, Air-Conditioning and Commercial Refrigeration Equipment Manufacturing"
BS333600,QC,AB,1,0.00%, Metalworking Machinery Manufacturing
BS333900,QC,AB,1,0.00%," Engine, Turbine and Power Transmission Equipment Manufacturing"
BS334100,QC,AB,1.114021402,11.40%, Computer and Peripheral Equipment Manufacturing
BS334200,QC,AB,1.008751911,0.88%, Communications Equipment Manufacturing
BS334A00,QC,AB,1,0.00%, Semiconductor and Other Electronic Component Manufacturing
BS334400,QC,AB,1.064880367,6.49%, Semiconductor and Other Electronic Component Manufacturing
BS335100,QC,AB,1,0.00%, Semiconductor and Other Electronic Component Manufacturing
BS335200,QC,AB,1,0.00%, Electric Lighting Equipment Manufacturing
BS335300,QC,AB,1,0.00%, Electrical Equipment Manufacturing
BS335900,QC,AB,1,0.00%, Household Appliance Manufacturing
BS336110,QC,AB,1.111049571,11.10%, Automobile and Light-Duty Motor Vehicle Manufacturing
BS336120,QC,AB,1,0.00%, Heavy-Duty Truck Manufacturing
BS336200,QC,AB,1,0.00%, Motor Vehicle Body and Trailer Manufacturing
BS336310,QC,AB,1,0.00%, Motor Vehicle Parts Manufacturing
BS336320,QC,AB,1,0.00%, Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
